tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt0067913,The Man with Icy Eyes,105098,The Man with Icy Eyes,"Drama,Thriller",5.2,263.0
tt0068272,A White Dress for Marialé,104360,A White Dress for Marialé,"Horror,Mystery,Thriller",5.6,881.0
tt0068289,Blood Sabbath,28224,Blood Sabbath,"Adventure,Horror",4.1,720.0
tt0068313,Brain of Blood,42477,Brain of Blood,"Horror,Sci-Fi",3.1,1080.0
tt0068340,Love Letter of a Murderer,257025,Carta de amor de un asesino,Drama,6.1,93.0
tt0068540,Enter the Devil,235798,Enter the Devil,"Drama,Horror,Thriller",5.0,607.0
tt0068577,Fear in the Night,39925,Fear in the Night,"Horror,Mystery,Thriller",5.9,2901.0
tt0068615,Frogs,18274,Frogs,"Horror,Mystery,Sci-Fi",4.5,8599.0
tt0068911,The Man with Two Heads,112812,The Man with Two Heads,"Horror,Sci-Fi",4.2,374.0
tt0068958,The Return of the Vampires,323115,El misterio de Cynthia Baird,Horror,3.6,40.0
tt0069069,"The Peeper, the Model and the Hypnotist",462922,Se zi tou shang yi ba dao,Drama,,
tt0069208,The Dracula Saga,27411,The Dracula Saga,Horror,5.6,325.0
tt0069298,Something Evil,85483,Something Evil,Horror,5.2,2485.0
tt0069593,Shadowman,4443,Shadowman,"Crime,Mystery",6.1,565.0
tt0069702,Ambush,107891,Ambush,"Action,Adventure",6.4,179.0
tt0069715,And Now the Screaming Starts!,42455,And Now the Screaming Starts!,Horror,5.9,3565.0
tt0069734,The Killer Is One of Thirteen,30422,The Killer Is One of 13,"Drama,Mystery,Thriller",5.1,671.0
tt0069754,The Baby,28156,The Baby,"Drama,Horror,Thriller",6.1,5125.0
tt0069924,Craze,105902,Craze,"Drama,Horror,Thriller",5.2,1040.0
tt0070512,Witness to Murder,92939,The Student Connection,Thriller,5.5,155.0
tt0070543,How to Seduce a Virgin,125133,Fun for Three,"Drama,Horror,Thriller",5.3,491.0
tt0070888,Voices,160910,Voices,"Drama,Horror,Thriller",5.5,549.0
tt0071114,The Lively Vampires of Vögel,263619,Las alegres vampiras de Vögel,"Comedy,Horror",3.8,81.0
tt0071276,Captain Kronos: Vampire Hunter,18979,Captain Kronos: Vampire Hunter,"Adventure,Horror,Mystery",6.4,6318.0
tt0072076,The Reincarnation,293240,Tou tai ren,Horror,4.7,34.0
tt0072149,Shanks,29399,Shanks,"Fantasy,Horror",5.5,877.0
tt0072162,Silence of the Grave,184852,Un silencio de tumba,"Horror,Mystery",5.1,176.0
tt0072184,Snuff,49673,Snuff,Horror,2.8,2214.0
tt0072217,The Strange and Deadly Occurrence,93886,The Strange and Deadly Occurrence,"Drama,Horror,Mystery",5.9,492.0
tt0072312,The Treasure of Abbot Thomas,141735,,,6.9,862.0
tt0072366,View from the Loft,960406,Pogled iz potkrovlja,Horror,6.2,16.0
tt0072752,The Beast,44132,The Beast,"Drama,Fantasy,Horror",5.7,6042.0
tt0072817,Conspiracy of Terror,140425,Conspiracy of Terror,Drama,5.4,71.0
tt0073367,The Night Child,27706,Together Forever,"Horror,Thriller",5.8,895.0
tt0073604,Rana: The Legend of Shadow Lake,214198,Rana: The Legend of Shadow Lake,"Adventure,Horror,Sci-Fi",3.1,689.0
tt0073655,The Bloodsucker Leads the Dance,99442,The Bloodsucker Leads the Dance,"Horror,Mystery",3.7,539.0
tt0074108,Albino,185752,The Night of the Askari,"Action,Adventure,Drama",5.4,370.0
tt0074222,Blood Bath,104385,Blood Bath,Horror,3.9,341.0
tt0074258,Burnt Offerings,13549,Burnt Offerings,"Horror,Mystery,Thriller",6.4,15211.0
tt0074289,Police Intervene in the House of Love,260840,Casa dell'amore... la polizia interviene,"Crime,Mystery,Thriller",4.2,49.0
tt0074451,Plot of Fear,63112,Plot of Fear,"Mystery,Thriller",5.9,1024.0
